연도,리그,지역,게임횟수,홈게임횟수,승리횟수,패배횟수,득점횟수,타석횟수,안타횟수,2루타횟수,3루타횟수,홈런횟수,타자_볼넷횟수,타자_삼진횟수,도루성공횟수,도루실패횟수,총_실점수,자책점수,평균자책점수,완투_횟수,완봉_횟수,세이브_횟수,소화한 아웃 수,피안타_횟수,피홈런_횟수,볼넷허용_횟수,투수_삼진횟수,실책횟수,병살횟수,수비율,승률,포스트시즌_진출여부,도루시도횟수,도루실패율
1909,NL,X,108,53,31,75,304,3511,784,86,30,10,280,394,94,79,478,340,3.2,68,9,4,2877,930,16,380,289,237,70,0.94,0.29411764705882354,0,174,0.4594137744291593
1909,AL,X,111,56,54,51,344,3511,777,101,39,2,308,394,147,125,324,228,2.05,80,18,2,3003,827,5,237,468,172,70,0.96,0.5131578947368421,0,273,0.4594137744291593
1909,NL,X,108,53,72,34,444,3499,858,142,42,14,294,394,130,110,273,190,1.75,77,22,7,2937,765,4,254,475,170,66,0.96,0.6797385620915033,0,241,0.4594137744291593
1909,NL,X,109,56,53,53,424,3561,891,111,50,15,334,394,196,165,419,275,2.52,63,7,5,2954,863,3,357,333,216,84,0.95,0.5032679738562091,0,361,0.4594137744291593
1909,AL,X,108,53,49,57,345,3533,851,121,56,7,198,394,121,102,372,254,2.4,77,10,2,2858,848,6,243,397,193,77,0.95,0.46405228758169936,0,224,0.4594137744291593
1909,AL,X,110,54,68,37,466,3566,951,146,40,13,277,394,196,165,345,249,2.26,81,11,8,2982,877,11,251,369,187,60,0.96,0.6447368421052632,1,361,0.4594137744291593
1909,NL,X,110,53,64,42,436,3652,928,121,47,18,371,394,163,138,382,254,2.27,73,11,10,3024,873,19,277,514,213,69,0.95,0.6013071895424836,0,302,0.4594137744291593
1909,AL,X,107,53,51,53,413,3486,863,100,42,11,284,394,130,110,410,278,2.65,65,12,4,2835,856,14,295,417,229,65,0.94,0.4900662251655629,0,241,0.4594137744291593
1909,AL,X,107,53,66,40,423,3433,879,130,61,14,282,394,143,121,285,207,1.93,77,18,2,2893,748,6,270,509,171,64,0.96,0.6209150326797386,0,265,0.4594137744291593
1909,NL,X,107,53,51,55,361,3523,859,129,37,8,258,394,129,109,362,263,2.44,62,11,4,2921,833,16,330,428,168,67,0.96,0.48366013071895425,0,239,0.4594137744291593
1909,NL,X,107,54,77,29,489,3590,932,152,64,17,335,394,129,109,312,225,2.07,65,14,7,2942,821,8,224,343,155,70,0.96,0.7236842105263158,1,239,0.4594137744291593
1909,AL,X,107,55,42,62,308,3474,805,81,31,7,231,394,95,80,402,303,2.88,73,14,2,2843,900,11,268,434,186,74,0.95,0.4066666666666667,0,175,0.4594137744291593
1909,NL,X,107,53,37,68,408,3575,869,103,39,10,397,394,112,95,511,365,3.41,58,3,2,2895,957,15,338,304,224,62,0.95,0.35526315789473684,0,207,0.4594137744291593
1909,AL,X,109,53,29,77,266,3488,778,104,28,6,224,394,95,80,459,324,3.04,69,7,1,2885,901,8,296,457,196,70,0.95,0.27631578947368424,0,175,0.4594137744291593
1910,AL,X,110,56,56,50,446,3642,944,122,60,30,301,386,135,114,394,272,2.45,70,8,4,3003,865,21,289,468,215,56,0.95,0.5294117647058824,0,250,0.4594137744291593
1910,NL,X,109,56,44,62,347,3587,821,116,51,17,303,494,105,89,436,338,3.07,72,10,3,2982,931,11,381,388,163,87,0.96,0.4155844155844156,0,195,0.4594137744291593
1910,NL,X,109,54,37,70,346,3586,882,121,34,21,251,378,106,90,490,347,3.22,50,8,6,2919,929,25,419,371,213,95,0.95,0.3464052287581699,0,196,0.4594137744291593
1910,AL,X,109,55,47,59,319,3516,740,80,40,4,282,386,128,108,335,224,2.03,72,16,4,2984,791,11,266,549,219,70,0.95,0.4444444444444444,0,236,0.4594137744291593
1910,NL,X,107,53,72,35,498,3483,933,153,58,23,379,350,121,102,349,268,2.51,70,17,9,2893,819,12,331,426,160,77,0.96,0.6753246753246753,1,224,0.4594137744291593
1910,NL,X,109,53,52,55,434,3584,928,105,55,16,370,360,217,184,478,331,3.08,60,11,7,2910,933,18,369,347,203,72,0.95,0.487012987012987,0,401,0.4594137744291593
1910,AL,X,112,56,49,56,383,3769,921,131,44,6,256,386,132,112,459,328,2.88,64,9,3,3080,974,7,341,431,172,78,0.96,0.46710526315789475,0,244,0.4594137744291593
1910,AL,X,108,54,60,47,475,3527,921,133,50,19,321,386,174,147,407,302,2.82,75,11,3,2898,879,23,322,372,196,55,0.95,0.5584415584415584,0,322,0.4594137744291593
1910,NL,X,108,55,63,44,500,3542,973,142,58,21,393,342,197,167,396,289,2.68,67,6,7,2921,902,21,277,501,197,81,0.95,0.5909090909090909,0,364,0.4594137744291593
1910,AL,X,109,53,61,44,438,3535,877,114,52,14,324,386,201,170,389,284,2.61,77,9,5,2937,866,11,254,457,200,66,0.95,0.5827814569536424,0,372,0.4594137744291593
1910,AL,X,108,54,71,33,471,3609,961,133,73,13,286,386,144,122,308,198,1.79,86,16,3,2984,772,5,315,552,161,81,0.96,0.68,1,267,0.4594137744291593
1910,NL,X,109,54,54,52,471,3619,923,156,49,15,354,391,139,118,447,334,3.05,58,11,6,2963,907,25,382,459,180,92,0.96,0.5098039215686274,0,257,0.4594137744291593
1910,NL,X,107,53,60,46,458,3587,954,149,58,23,305,366,103,87,403,303,2.83,51,9,8,2889,877,14,274,335,171,71,0.96,0.5620915032679739,0,191,0.4594137744291593
1910,AL,X,110,55,32,74,315,3553,773,91,42,8,290,386,118,100,520,334,3.09,70,6,2,2921,949,9,372,389,269,79,0.94,0.3051948051948052,0,218,0.4594137744291593
1910,NL,X,107,53,44,62,447,3438,851,116,49,10,458,406,125,106,502,393,3.78,56,2,9,2807,977,21,378,326,179,76,0.95,0.4117647058823529,0,231,0.4594137744291593
1910,AL,X,109,53,46,59,350,3492,822,101,32,6,314,386,134,114,385,262,2.46,83,13,2,2883,850,13,262,471,184,69,0.95,0.4370860927152318,0,248,0.4594137744291593
1911,AL,X,107,53,54,52,475,3509,965,142,46,24,354,419,133,112,450,287,2.74,60,7,5,2837,916,14,331,497,225,65,0.94,0.5098039215686274,0,245,0.4594137744291593
1911,NL,X,107,51,44,60,377,3541,838,105,49,19,297,478,128,109,461,361,3.39,56,9,7,2879,916,18,396,373,170,78,0.96,0.4266666666666667,0,237,0.4594137744291593
1911,NL,X,109,52,30,74,489,3715,991,174,37,25,387,403,118,100,714,543,5.08,51,3,4,2885,1099,53,470,340,242,77,0.94,0.2913907284768212,0,218,0.4594137744291593
1911,AL,X,107,54,53,51,503,3649,980,125,64,14,269,419,140,118,436,319,2.97,59,11,7,2910,944,15,268,526,178,68,0.96,0.5099337748344371,0,259,0.4594137744291593
